iid,name,cat_id
25756,清风几何卷筒卫生纸3层270段10卷装 B22A4N1,490
25760,清风厨房纸巾（70张+5张）*2卷装,492
25776,维达花之韵V4143长卷无芯卫卷78g,490
25780,维达蓝色经典V2182抽取式面巾130抽,489
25786,心相印 DT1120 抽纸 三层压花婴用型软抽纸巾 120抽*3包,489
25799,立白 新一代洗洁精1.68kg 高效去污 除菌清洁剂,480
25820,威露士 衣物消毒除菌液柠檬香2.5L+1.5L 促销装 除菌清洁,96870006
25946,新西兰 安佳无盐小黄油7g  原装 独立小包装  （赠品）,99750001
25947,KING’S SOCE/品高 黑胡椒牛排酱20g （赠品）,272
25954,【云猴生鲜】西捷 澳洲雪花西冷牛排150g,96940011
25955,【云猴生鲜】西捷 新西兰草饲西冷牛排150g,96940011
26364,高洁丝 瞬吸漏斗超熟睡380夜用纤巧棉柔护翼卫生巾3片 380mm,321
26365,高洁丝 瞬吸漏斗纤巧棉柔护翼卫生巾超长扇尾夜用8片 320mm,321
26367,高洁丝 瞬吸漏斗日用丝薄棉柔护翼卫生巾10片*2+夜用卫生巾8片,321
26368,高洁丝迷你护翼卫生巾190mm*8片 舒棉表层,321
26399,强生婴儿柔泡型洗发沐浴露400ml,453
26411,Johnsons Baby/强生  婴儿牛奶润肤皂125g/盒   温和清洁滋养肌肤润肤,453
26413,Johnsons Baby/强生  婴儿香皂125g/盒   天然温和 沐浴洗脸皂,453
26417,强生舒眠润肤露100ml,455
26420,强生 婴儿润肤露100ml,455
26421,强生无香型婴儿倍柔护肤柔湿巾10片/包,423
26423,强生 婴儿倍柔护肤柔湿巾10片/包,423
33836,清风原木纯品纯品金装4层8张12包手帕纸,495
33839,心相印 红悦系列DT29150三层塑装纸面巾150抽*3包 软抽包抽纸,489
33877,维达超韧系列 软包抽纸3层130抽*6包纸巾  家庭装 面纸,489
33915,多芬香皂  柔肤乳霜香块100g  清洁美白,359
33920,多芬  日常损伤理护洗发乳700ml,347
33961,舒肤佳芦荟呵护型香皂115克X3,359
34442,法国进口  黛宝半脱脂牛奶 1L*6,113
34443,黛宝 法国进口全脂牛奶 1L*6,113
34455,Debon 黛宝 法国原装进口脱脂牛奶 1L*6,113
34458,Deyatur德亚全脂牛奶德国原装进口全脂牛奶 200ml*30,113
34946,五丰优选丝苗米5kg,286
34949,五丰东北米10kg,286
35174,ABC 纤薄倍柔干爽网面日用卫生巾8片 240mm,321
35176,ABC 减翼简易日用纤薄棉柔卫生巾8片 240mm 超吸干爽,321
35178,ABC 减翼简易棉柔超薄卫生巾 蓝芯2代迅爽排湿超宽护围 日用8片 240mm,321
35180,ABC 亲柔立围超薄卫生巾 超长超宽巾身熟睡防双侧后漏 夜用8片 K84 8片 280mm,321
35184,ABC 夜用纤薄倍柔干爽网面卫生巾8片 280mm 经典护翼系列 蓝芯2代迅爽透气,321
35187,ABC 纤薄棉柔排湿表层卫生巾夜用8片 含独KMS健康配方（K12）280mm,321
35201,舒肤佳 纯白沐浴露劲爆特惠装1L 清香温和,357
35210,邦迪 弹性创可贴4片装,784
35293,花王（Merries）纸尿裤 中号M64片【6-11kg】（日本原装进口）透气超薄,631
35398,维达feel纸巾  2层餐巾纸 抽取式面巾纸150抽,489
35399,维达BOBO_FEEL_V2223倍韧抽取面巾200抽3包195mm*140mm,489
35408,维达V0118栀子花香迷你维达纸巾纸,495
35413,光明 莫斯利安 巴氏杀菌原味酸牛奶 200g*12盒,220
35628,郑玉巧育儿经-教妈妈喂养,800
35736,心相印手帕纸  品诺W1110  三层皮夹纸（黑色装束）*9包装,495
